"Datum","B0","B1","B2","B3","T1","T2"
1997-08-02,".",".",".",".",".","."
1997-08-03,".",".",".",".",".","."
1997-08-04,".",".",".",".",".","."
1997-08-05,".",".",".",".",".","."
1997-08-06,".",".",".",".",".","."
1997-08-07,"7,35100","-4,33200","-1,01500","-0,84800","2,45800","1,54800"
1997-08-08,"7,48100","-4,43500","-1,79100","-0,47600","2,45100","1,22700"
1997-08-09,".",".",".",".",".","."
1997-08-10,".",".",".",".",".","."
1997-08-11,"7,41380","-4,36372","-2,69920","-0,24174","2,06339","1,57219"
1997-08-12,"7,33101","-4,26815","-1,33451","-0,94145","2,34563","1,51546"
1997-08-13,"7,35156","-4,27221","-1,01935","-0,83025","2,44592","1,75185"
1997-08-14,"7,00844","-3,94443","-2,35539","2,80751","3,44890","5,24099"
1997-08-15,"6,87916","-3,77954","-3,81546","5,71126","4,66424","5,53113"
1997-08-16,".",".",".",".",".","."
1997-08-17,".",".",".",".",".","."
1997-08-18,"7,29734","-4,16609","-1,05456","-0,94923","2,44230","1,64502"
1997-08-19,"7,21204","-4,10606","-1,50419","-0,91986","2,19621","1,88337"
1997-08-20,"7,07619","-4,02558","3,40310","-1,85500","4,80625","3,34807"
1997-08-21,"6,81192","-3,73590","-1,46027","2,50632","3,63092","5,84764"
1997-08-22,"6,87055","-3,76639","3,54304","-0,65749","6,00456","4,22715"
1997-08-23,".",".",".",".",".","."
1997-08-24,".",".",".",".",".","."
1997-08-25,"7,10359","-4,01345","-1,63241","1,75110","3,20284","5,07719"
1997-08-26,"7,09901","-4,01020","-2,49611","3,67981","4,12647","4,66330"
1997-08-27,"6,92540","-3,82183","-1,46223","4,12823","5,72430","5,97778"
1997-08-28,"6,60562","-3,53544","-2,80310","7,34450","7,83011","7,48815"
1997-08-29,"7,23291","-4,14505","-2,13396","-0,28972","2,03027","2,07338"
1997-08-30,".",".",".",".",".","."
1997-08-31,".",".",".",".",".","."
1997-09-01,"7,30846","-4,13282","-0,98838","-0,37797","2,78661","0,83496"
1997-09-02,"7,25671","-4,14574","-1,98736","-1,41993","1,59628","2,75693"
1997-09-03,"7,20477","-4,03351","1,13708","-0,40241","4,52859","0,39870"
1997-09-04,"7,17985","-4,12284","1,76845","-0,28880","4,82576","10,68761"
1997-09-05,"7,08903","-4,05051","-1,24868","1,08121","3,07870","4,33326"
1997-09-06,".",".",".",".",".","."
1997-09-07,".",".",".",".",".","."
1997-09-08,"7,20661","-4,17771","3,29991","-0,75651","6,27327","10,13935"
1997-09-09,"7,16825","-4,10916","-0,54596","-0,74056","2,51657","1,74638"
1997-09-10,"7,18472","-4,11794","-0,71315","-0,63092","2,63897","1,83088"
1997-09-11,"7,17216","-4,09708","-0,98338","-0,71896","2,34550","1,95217"
1997-09-12,"7,17934","-4,08217","-0,92255","-0,71238","2,42411","1,81520"
1997-09-13,".",".",".",".",".","."
1997-09-14,".",".",".",".",".","."
1997-09-15,"7,08373","-4,00547","-0,08629","1,10022","4,18890","5,10512"
1997-09-16,"6,70181","-3,56427","3,04055","-0,05701","6,18447","0,55881"
1997-09-17,"7,03030","-3,91735","0,89203","-0,67615","4,36058","0,01505"
